Site,Buy-In,Tourney Start,Tourney End,My C Net Won,Hands,chipEV/tourney,Chips Won
Sportium,10,2021/03/15 10:48 am,2021/03/15 10:54 am,-€10.00,15,-451,-500
Sportium,10,2021/03/15 10:47 am,2021/03/15 10:51 am,-€10.00,12,293,-500
Sportium,10,2021/03/15 10:34 am,2021/03/15 10:41 am,-€10.00,30,528,-500
Sportium,10,2021/03/15 10:32 am,2021/03/15 10:37 am,-€10.00,14,-136,-500
Sportium,10,2021/03/14  3:40 pm,2021/03/14  3:44 pm,-€10.00,14,-346,-500
Sportium,10,2021/03/14  3:39 pm,2021/03/14  3:42 pm,-€10.00,10,38,-500
Sportium,10,2021/03/14  3:38 pm,2021/03/14  3:38 pm,-€10.00,1,253,-500
Sportium,10,2021/03/14  3:36 pm,2021/03/14  3:39 pm,-€10.00,7,0,-500
Sportium,10,2021/03/14  3:32 pm,2021/03/14  3:38 pm,-€10.00,18,-413,-500
Sportium,10,2021/03/14  3:27 pm,2021/03/14  3:31 pm,-€10.00,11,-294,-500
Sportium,10,2021/03/14  3:21 pm,2021/03/14  3:27 pm,-€10.00,21,-501,-500
Sportium,10,2021/03/14  3:20 pm,2021/03/14  3:22 pm,-€10.00,6,56,-500
Sportium,10,2021/03/14  3:17 pm,2021/03/14  3:19 pm,-€10.00,6,90,-500
Sportium,10,2021/03/14  3:17 pm,2021/03/14  3:20 pm,-€10.00,9,363,-500
Sportium,10,2021/03/14  2:42 pm,2021/03/14  2:46 pm,-€10.00,13,-455,-500
Sportium,10,2021/03/14  2:30 pm,2021/03/14  2:38 pm,-€10.00,18,365,-500
Sportium,10,2021/03/14  2:28 pm,2021/03/14  2:29 pm,-€10.00,4,-17,-500
Sportium,10,2021/03/14  2:23 pm,2021/03/14  2:28 pm,-€10.00,15,267,-500
Sportium,10,2021/03/14  2:21 pm,2021/03/14  2:27 pm,-€10.00,16,56,-500
Sportium,10,2021/03/14  1:35 pm,2021/03/14  1:38 pm,-€10.00,16,-25,-500
