Site,Buy-In,Tourney Start,Tourney End,My C Net Won,Hands,chipEV/tourney,Chips Won
PS.es,1,2019/01/16  9:13 am,2019/01/16  9:14 am,-€1.00,6,10,-500
PS.es,1,2019/01/16  9:11 am,2019/01/16  9:11 am,-€1.00,4,-1,-500
PS.es,1,2019/01/16  9:11 am,2019/01/16  9:18 am,-€1.00,20,44,-500
PS.es,1,2019/01/16  9:07 am,2019/01/16  9:09 am,-€1.00,6,-398,-500
PS.es,1,2019/01/16  9:01 am,2019/01/16  9:09 am,-€1.00,22,-864,-500
PS.es,1,2019/01/16  9:01 am,2019/01/16  9:07 am,-€1.00,13,249,-500
PS.es,1,2019/01/16  8:47 am,2019/01/16  9:00 am,-€1.00,45,163,-500
PS.es,1,2019/01/16  8:47 am,2019/01/16  8:52 am,-€1.00,9,-281,-500
PS.es,1,2019/01/16  8:40 am,2019/01/16  8:46 am,-€1.00,16,-266,-500
PS.es,1,2019/01/16  8:38 am,2019/01/16  8:40 am,-€1.00,6,-194,-500
PS.es,1,2019/01/16  8:37 am,2019/01/16  8:37 am,-€1.00,1,226,-500
PS.es,1,2019/01/16  8:35 am,2019/01/16  8:35 am,-€1.00,1,-340,-500
PS.es,1,2019/01/16  8:35 am,2019/01/16  8:37 am,-€1.00,6,-500,-500
PS.es,1,2019/01/16  8:24 am,2019/01/16  8:29 am,-€1.00,10,-154,-500
PS.es,1,2019/01/16  8:20 am,2019/01/16  8:23 am,-€1.00,10,-500,-500
PS.es,1,2019/01/16  8:15 am,2019/01/16  8:24 am,-€1.00,40,1058,-500
PS.es,1,2019/01/16  8:12 am,2019/01/16  8:14 am,-€1.00,5,-99,-500
PS.es,1,2019/01/16  8:12 am,2019/01/16  8:19 am,-€1.00,26,300,-500
PS.es,1,2019/01/16  8:12 am,2019/01/16  8:21 am,-€1.00,48,-95,-500
PS.es,1,2019/01/16  7:55 am,2019/01/16  7:57 am,-€1.00,4,-437,-500
PS.es,1,2019/01/16  7:55 am,2019/01/16  7:56 am,-€1.00,2,-63,-500
PS.es,1,2019/01/16  7:28 am,2019/01/16  7:28 am,-€1.00,1,564,-500
PS.es,1,2019/01/16  7:27 am,2019/01/16  7:28 am,-€1.00,5,-59,-500
PS.es,1,2019/01/16  7:25 am,2019/01/16  7:32 am,-€1.00,23,-596,-500
PS.es,1,2019/01/16  7:23 am,2019/01/16  7:23 am,-€1.00,2,-15,-500
PS.es,1,2019/01/16  7:23 am,2019/01/16  7:24 am,-€1.00,3,-399,-500
PS.es,1,2019/01/16  7:07 am,2019/01/16  7:17 am,-€1.00,32,430,-500
PS.es,1,2019/01/16  7:04 am,2019/01/16  7:16 am,-€1.00,48,512,-500
PS.es,1,2019/01/16  7:04 am,2019/01/16  7:06 am,-€1.00,5,-153,-500
PS.es,1,2019/01/16  7:03 am,2019/01/16  7:20 am,-€1.00,51,-132,-500
PS.es,1,2019/01/15  8:52 pm,2019/01/15  8:54 pm,-€1.00,6,411,-500
PS.es,1,2019/01/15  8:22 pm,2019/01/15  8:27 pm,-€1.00,13,-25,-500
PS.es,1,2019/01/15  8:11 pm,2019/01/15  8:17 pm,-€1.00,21,-287,-500
PS.es,1,2019/01/15  8:11 pm,2019/01/15  8:17 pm,-€1.00,16,22,-500
PS.es,1,2019/01/15  7:56 pm,2019/01/15  7:58 pm,-€1.00,9,5,-500
PS.es,1,2019/01/15  7:54 pm,2019/01/15  7:55 pm,-€1.00,8,-291,-500
PS.es,1,2019/01/15  7:38 pm,2019/01/15  7:39 pm,-€1.00,5,-363,-500
PS.es,1,2019/01/15  7:12 pm,2019/01/15  7:22 pm,-€1.00,29,-38,-500
PS.es,1,2019/01/15  7:10 pm,2019/01/15  7:10 pm,-€1.00,1,-242,-500
PS.es,1,2019/01/15  7:10 pm,2019/01/15  7:17 pm,-€1.00,16,-537,-500
PS.es,1,2019/01/15  7:03 pm,2019/01/15  7:05 pm,-€1.00,4,-500,-500
PS.es,1,2019/01/15  6:31 pm,2019/01/15  6:36 pm,-€1.00,19,168,-500
PS.es,1,2019/01/15  6:19 pm,2019/01/15  6:28 pm,-€1.00,21,-292,-500
PS.es,1,2019/01/15  6:18 pm,2019/01/15  6:23 pm,-€1.00,15,-433,-500
PS.es,1,2019/01/15  6:08 pm,2019/01/15  6:15 pm,-€1.00,21,90,-500
PS.es,1,2019/01/15  6:08 pm,2019/01/15  6:16 pm,-€1.00,34,-28,-500
PS.es,1,2019/01/15  5:59 pm,2019/01/15  6:03 pm,-€1.00,9,-224,-500
PS.es,1,2019/01/15  5:59 pm,2019/01/15  6:07 pm,-€1.00,31,-153,-500
PS.es,1,2018/11/28  5:49 am,2018/11/28  5:54 am,-€1.00,10,481,-500
PS.es,1,2018/11/28  5:26 am,2018/11/28  5:34 am,-€1.00,25,-169,-500
PS.es,1,2018/11/28  1:05 am,2018/11/28  1:09 am,-€1.00,21,-167,-500
PS.es,1,2018/11/27 10:52 pm,2018/11/27 11:00 pm,-€1.00,35,-934,-500
PS.es,1,2018/11/27 10:43 pm,2018/11/27 10:50 pm,-€1.00,28,-343,-500
PS.es,1,2018/11/27 10:42 pm,2018/11/27 10:46 pm,-€1.00,15,-512,-500
PS.es,1,2018/11/27 10:37 pm,2018/11/27 10:42 pm,-€1.00,16,-1062,-500
PS.es,1,2018/11/27 10:36 pm,2018/11/27 10:39 pm,-€1.00,12,-235,-500
PS.es,1,2018/11/27 10:33 pm,2018/11/27 10:37 pm,-€1.00,9,-500,-500
PS.es,1,2018/11/27 10:32 pm,2018/11/27 10:34 pm,-€1.00,7,-351,-500
PS.es,1,2018/11/27 10:21 pm,2018/11/27 10:23 pm,-€1.00,4,-203,-500
PS.es,1,2018/11/27 10:15 pm,2018/11/27 10:20 pm,-€1.00,19,-892,-500
PS.es,1,2018/11/27 10:15 pm,2018/11/27 10:26 pm,-€1.00,20,-226,-500
PS.es,1,2018/11/27 10:05 pm,2018/11/27 10:09 pm,-€1.00,14,359,-500
PS.es,1,2018/11/27 10:05 pm,2018/11/27 10:13 pm,-€1.00,25,-55,-500
PS.es,1,2018/11/27  9:20 pm,2018/11/27  9:31 pm,-€1.00,51,-12,-500
PS.es,1,2018/11/27  9:19 pm,2018/11/27  9:31 pm,-€1.00,56,-478,-500
PS.es,1,2018/11/27  9:19 pm,2018/11/27  9:19 pm,-€1.00,4,-313,-500
PS.es,1,2018/11/27  9:05 pm,2018/11/27  9:14 pm,-€1.00,26,159,-500
PS.es,1,2018/11/27  8:17 pm,2018/11/27  8:20 pm,-€1.00,16,-67,-500
PS.es,1,2018/11/27  8:11 pm,2018/11/27  8:17 pm,-€1.00,27,-439,-500
PS.es,1,2018/11/27  8:11 pm,2018/11/27  8:14 pm,-€1.00,8,-51,-500
PS.es,1,2018/11/27  7:58 pm,2018/11/27  8:01 pm,-€1.00,10,391,-500
PS.es,1,2018/11/27  7:55 pm,2018/11/27  8:00 pm,-€1.00,16,-284,-500
PS.es,1,2018/11/27  7:55 pm,2018/11/27  7:57 pm,-€1.00,6,-189,-500
PS.es,1,2018/11/27  7:46 pm,2018/11/27  7:48 pm,-€1.00,7,-343,-500
PS.es,1,2018/11/27  7:36 pm,2018/11/27  7:45 pm,-€1.00,39,-418,-500
PS.es,1,2018/11/27  7:36 pm,2018/11/27  7:41 pm,-€1.00,27,410,-500
PS.es,1,2018/11/27  7:30 pm,2018/11/27  7:34 pm,-€1.00,20,251,-500
PS.es,1,2018/11/27  7:25 pm,2018/11/27  7:29 pm,-€1.00,17,72,-500
PS.es,1,2018/11/27  7:24 pm,2018/11/27  7:24 pm,-€1.00,3,-329,-500
PS.es,1,2018/11/27  7:16 pm,2018/11/27  7:22 pm,-€1.00,30,-559,-500
PS.es,1,2018/11/27  7:01 pm,2018/11/27  7:15 pm,-€1.00,56,977,-500
PS.es,1,2018/11/27  6:51 pm,2018/11/27  7:00 pm,-€1.00,32,-569,-500
PS.es,1,2018/11/27  6:40 pm,2018/11/27  6:44 pm,-€1.00,11,-208,-500
PS.es,1,2018/11/27  6:37 pm,2018/11/27  6:50 pm,-€1.00,83,-412,-500
PS.es,1,2018/11/27  6:35 pm,2018/11/27  6:37 pm,-€1.00,6,-477,-500
PS.es,1,2018/11/27  6:35 pm,2018/11/27  6:36 pm,-€1.00,5,-85,-500
PS.es,1,2018/11/27  6:27 pm,2018/11/27  6:32 pm,-€1.00,21,-318,-500
PS.es,1,2018/11/27  6:17 pm,2018/11/27  6:26 pm,-€1.00,39,-775,-500
PS.es,1,2018/11/27  6:17 pm,2018/11/27  6:24 pm,-€1.00,29,-345,-500
PS.es,1,2018/11/27  6:04 pm,2018/11/27  6:13 pm,-€1.00,30,879,-500
PS.es,1,2018/11/27  6:02 pm,2018/11/27  6:04 pm,-€1.00,7,-383,-500
PS.es,1,2018/11/27  6:02 pm,2018/11/27  6:03 pm,-€1.00,5,-520,-500
PS.es,1,2018/11/27  5:57 pm,2018/11/27  6:00 pm,-€1.00,11,-500,-500
PS.es,1,2018/11/27  5:57 pm,2018/11/27  6:00 pm,-€1.00,10,-263,-500
PS.es,1,2018/11/27 11:05 am,2018/11/27 11:09 am,-€1.00,16,135,-500
PS.es,1,2018/11/27 11:05 am,2018/11/27 11:17 am,-€1.00,73,667,-500
PS.es,1,2018/11/27  9:39 am,2018/11/27  9:39 am,-€1.00,2,-455,-500
PS.es,1,2018/11/27  9:30 am,2018/11/27  9:38 am,-€1.00,28,-570,-500
PS.es,1,2018/11/27  9:28 am,2018/11/27  9:29 am,-€1.00,5,-128,-500
PS.es,1,2018/11/27  8:05 am,2018/11/27  8:10 am,-€1.00,20,-207,-500
PS.es,1,2018/11/27  8:04 am,2018/11/27  8:04 am,-€1.00,1,46,-500
PS.es,1,2018/11/27  8:04 am,2018/11/27  8:05 am,-€1.00,3,-483,-500
PS.es,1,2018/11/27  7:57 am,2018/11/27  8:01 am,-€1.00,19,-206,-500
PS.es,1,2018/11/27  7:48 am,2018/11/27  7:54 am,-€1.00,22,161,-500
PS.es,1,2018/11/27  7:46 am,2018/11/27  7:54 am,-€1.00,13,-7,-500
PS.es,1,2018/11/27  7:45 am,2018/11/27  7:47 am,-€1.00,8,211,-500
PS.es,1,2018/11/27  7:39 am,2018/11/27  7:44 am,-€1.00,17,-500,-500
